,Respondent,WebframeDesireNextYear,WebframeWorkedWith
426,331,Ruby on Rails,
433,363,Spring,Spring
434,363,,jQuery
435,363,Vue.js,
437,369,ASP.NET Core,ASP.NET
438,369,,jQuery
439,369,jQuery,
441,369,Vue.js,
443,373,ASP.NET Core,ASP.NET Core
444,401,Flask,Angular.js
445,401,,Flask
446,401,,Laravel
447,401,,Ruby on Rails
448,401,,Symfony
449,401,,Vue.js
450,401,,jQuery
451,401,jQuery,
458,401,Laravel,
465,401,React.js,
472,401,Ruby on Rails,
479,401,Symfony,
486,401,Vue.js,
493,402,Express,ASP.NET Core
494,402,,Angular.js
495,402,,Express
496,402,,React.js
497,402,,jQuery
498,402,jQuery,
503,402,React.js,
508,412,Express,ASP.NET
509,412,,React.js
510,412,,Spring
511,412,,jQuery
512,412,React.js,
516,412,Spring,
520,413,ASP.NET Core,ASP.NET Core
521,413,,Vue.js
522,413,Express,
524,413,Vue.js,
526,429,ASP.NET,ASP.NET
527,429,,jQuery
528,429,ASP.NET Core,
530,429,jQuery,
532,433,Django,ASP.NET
533,433,,ASP.NET Core
534,433,,Angular
535,433,,Angular.js
536,433,,Express
537,433,,Flask
538,433,,React.js
539,433,,Spring
540,433,Gatsby,
548,433,Vue.js,
556,444,Django,Express
557,444,,React.js
558,444,Flask,
560,448,Angular,Angular
561,448,,Express
562,448,,jQuery
563,448,Express,
566,448,jQuery,
569,448,Vue.js,
572,456,ASP.NET,ASP.NET
573,456,,ASP.NET Core
574,456,,Drupal
575,456,ASP.NET Core,
578,461,Angular,Angular
579,461,,Express
580,461,ASP.NET Core,
582,461,Express,
584,463,Flask,Drupal
585,463,,Flask
586,463,,Laravel
587,463,,jQuery
588,463,jQuery,
592,463,Vue.js,
596,471,ASP.NET Core,ASP.NET
597,471,,ASP.NET Core
598,471,,Angular.js
599,471,,jQuery
600,479,Django,Gatsby
601,479,,React.js
602,479,,Ruby on Rails
603,479,,Spring
604,479,,jQuery
605,479,Gatsby,
610,479,React.js,
615,479,Ruby on Rails,
620,479,Spring,
625,487,ASP.NET Core,ASP.NET
626,487,,React.js
627,487,,Vue.js
628,487,,jQuery
629,487,Vue.js,
633,520,Angular,ASP.NET
634,520,,ASP.NET Core
635,520,,Angular
636,520,,Angular.js
637,520,,jQuery
638,520,ASP.NET Core,
643,520,jQuery,
648,530,Django,Django
649,530,,React.js
650,530,React.js,
652,532,ASP.NET Core,ASP.NET
653,532,,ASP.NET Core
654,532,,React.js
655,532,React.js,
658,534,Angular,ASP.NET
659,534,,ASP.NET Core
660,534,,Angular
661,534,,Express
662,534,,React.js
663,534,,jQuery
664,534,Express,
670,534,Flask,
676,534,Ruby on Rails,
682,534,Vue.js,
688,536,ASP.NET,ASP.NET
689,537,ASP.NET,ASP.NET
690,537,,ASP.NET Core
691,537,,React.js
692,537,ASP.NET Core,
695,537,Laravel,
698,537,Symfony,
701,538,Angular,ASP.NET Core
702,538,,Angular
703,538,ASP.NET Core,
705,538,React.js,
707,542,Angular,Spring
708,542,,jQuery
709,542,Angular.js,
711,542,jQuery,
713,544,ASP.NET Core,ASP.NET Core
714,544,,Express
715,544,,React.js
716,544,,Vue.js
717,544,Express,
721,544,React.js,
725,544,Vue.js,
729,557,Django,Django
730,557,,React.js
731,557,,Ruby on Rails
732,557,,jQuery
733,557,React.js,
737,559,React.js,Spring
738,560,ASP.NET,ASP.NET
739,560,,ASP.NET Core
740,560,,jQuery
741,560,ASP.NET Core,
744,560,jQuery,
747,560,React.js,
750,560,Vue.js,
753,562,Express,ASP.NET
754,562,,ASP.NET Core
755,562,,Angular
756,562,,Angular.js
757,562,,Ruby on Rails
758,562,,jQuery
759,562,Vue.js,
765,571,Angular,ASP.NET
766,571,,ASP.NET Core
767,571,,Angular
768,571,,Express
769,571,,Vue.js
770,571,,jQuery
771,571,ASP.NET,
777,571,ASP.NET Core,
783,571,Express,
789,571,jQuery,
795,571,Vue.js,
801,576,Angular,Angular
802,584,ASP.NET Core,ASP.NET
803,584,,ASP.NET Core
804,584,,Angular.js
805,590,ASP.NET,ASP.NET
806,590,ASP.NET Core,
807,590,React.js,
808,593,ASP.NET,ASP.NET
809,593,,Angular.js
810,593,,Vue.js
811,593,,jQuery
812,593,jQuery,
816,593,Vue.js,
820,595,Express,Express
821,624,Angular,Angular
822,624,,Express
823,624,Express,
825,641,Express,Express
826,641,,React.js
827,641,React.js,
829,641,Ruby on Rails,
831,678,ASP.NET Core,ASP.NET
832,678,,ASP.NET Core
833,678,,Angular
834,687,Django,Django
835,687,,Flask
836,687,,Gatsby
837,687,,React.js
838,687,Flask,
842,687,Gatsby,
846,687,React.js,
850,687,Vue.js,
854,696,React.js,Laravel
855,696,,Vue.js
856,696,,jQuery
857,697,Angular,Angular
858,697,,Express
859,697,Express,
861,710,Flask,Flask
862,710,,Spring
863,710,Spring,
865,713,Django,Flask
866,713,Flask,
867,713,Vue.js,
868,718,Express,Express
869,718,,Gatsby
870,718,,React.js
871,718,,Ruby on Rails
872,718,,jQuery
873,718,Gatsby,
878,718,React.js,
883,718,Ruby on Rails,
888,718,Vue.js,
893,726,ASP.NET,ASP.NET
894,750,ASP.NET,ASP.NET
895,750,ASP.NET Core,
896,759,Angular,ASP.NET
897,759,,ASP.NET Core
898,759,,Angular
899,759,,jQuery
900,759,ASP.NET,
904,759,ASP.NET Core,
908,759,Express,
912,759,jQuery,
916,761,Spring,Spring
917,761,,jQuery
918,779,ASP.NET Core,ASP.NET
919,779,,ASP.NET Core
920,779,,Angular.js
921,779,,Express
922,779,,React.js
923,779,,Vue.js
924,779,,jQuery
925,779,jQuery,
932,779,React.js,
939,779,Vue.js,
946,815,Express,Express
947,815,,React.js
948,815,React.js,
950,816,React.js,React.js
951,823,Angular,ASP.NET
952,823,,ASP.NET Core
953,823,,Angular
954,823,ASP.NET Core,
957,827,React.js,Ruby on Rails
958,827,,jQuery
959,837,Spring,Angular
960,837,,Angular.js
961,837,,React.js
962,837,,Spring
963,837,,Vue.js
964,837,Vue.js,
969,841,Angular,ASP.NET
970,841,,Angular
971,841,,Laravel
972,841,,Spring
973,841,ASP.NET,
977,841,Laravel,
981,842,ASP.NET,ASP.NET
982,842,,ASP.NET Core
983,842,,Angular
984,842,ASP.NET Core,
987,858,ASP.NET Core,ASP.NET
988,858,,ASP.NET Core
989,858,,Vue.js
990,858,,jQuery
991,858,React.js,
995,858,Vue.js,
999,878,Angular,ASP.NET Core
1000,878,,Angular
1001,878,,React.js
1002,878,ASP.NET Core,
1005,878,React.js,
1008,878,Ruby on Rails,
1011,887,Django,Django
1012,887,,Express
1013,887,,React.js
1014,887,,jQuery
1015,887,React.js,
1019,894,Angular,Angular
1020,894,,Django
1021,894,,Express
1022,894,,React.js
1023,894,Express,
1027,894,Vue.js,
1031,895,Angular,ASP.NET
1032,895,,ASP.NET Core
1033,895,,Angular
1034,895,,Vue.js
1035,895,,jQuery
1036,895,ASP.NET,
1041,895,ASP.NET Core,
1046,895,jQuery,
1051,895,Vue.js,
1056,905,Angular,Flask
1057,905,,Spring
1058,905,Flask,
1060,905,Spring,
1062,908,Angular,ASP.NET
1063,908,,ASP.NET Core
1064,908,,Angular
1065,908,,Drupal
1066,908,,Vue.js
1067,908,,jQuery
1068,908,ASP.NET Core,
1074,908,Express,
1080,908,Vue.js,
1086,912,Django,Angular
1087,912,,Angular.js
1088,912,,jQuery
1089,912,Flask,
1092,912,React.js,
1095,912,Vue.js,
1098,913,Gatsby,Laravel
1099,913,,jQuery
1100,913,jQuery,
1102,913,Laravel,
1104,913,React.js,
1106,913,Vue.js,
1108,921,ASP.NET Core,ASP.NET
1109,921,,Express
1110,921,,Flask
1111,921,,Spring
1112,921,,Vue.js
1113,921,,jQuery
1114,921,Express,
1120,921,Flask,
1126,921,Vue.js,
1132,923,Django,Django
1133,923,,Express
1134,923,,React.js
1135,923,,Ruby on Rails
1136,923,Express,
1140,923,React.js,
1144,931,ASP.NET Core,ASP.NET
1145,931,,ASP.NET Core
1146,931,,Laravel
1147,931,,jQuery
1148,931,jQuery,
1152,939,Angular,Angular
1153,939,,Spring
1154,939,,jQuery
1155,939,React.js,
1158,939,Spring,
1161,939,Vue.js,
1164,950,Django,Django
1165,952,Spring,Spring
1166,952,,Vue.js
1167,952,,jQuery
1168,952,Vue.js,
1171,965,ASP.NET Core,ASP.NET
1172,965,,ASP.NET Core
1173,965,,React.js
1174,965,Vue.js,
1177,980,Flask,Angular
1178,980,,Angular.js
1179,980,,Express
1180,980,,Flask
1181,980,,React.js
1182,980,,jQuery
1183,986,Express,Express
1184,986,,Laravel
1185,986,,jQuery
1186,986,Laravel,
1189,1013,Angular,ASP.NET
1190,1013,,ASP.NET Core
1191,1013,,Angular
1192,1013,,Angular.js
1193,1013,,Django
1194,1013,,Drupal
1195,1013,,Express
1196,1013,,Flask
1197,1013,,React.js
1198,1013,,Ruby on Rails
1199,1013,,Spring
1200,1013,,Symfony
1201,1013,,Vue.js
1202,1013,,jQuery
1203,1013,Django,
1217,1013,Express,
1231,1013,Flask,
1245,1013,React.js,
1259,1013,Ruby on Rails,
1273,1026,React.js,Django
1274,1026,,Express
1275,1026,,Flask
1276,1026,,React.js
1277,1035,React.js,Angular
1278,1035,,Spring
1279,1035,,jQuery
1280,1035,Spring,
1283,1035,Vue.js,
1286,1045,Angular.js,ASP.NET
1287,1045,,ASP.NET Core
1288,1045,,jQuery
1289,1045,ASP.NET Core,
1292,1051,Express,Laravel
1293,1051,,React.js
1294,1051,,jQuery
1295,1051,Laravel,
1298,1051,React.js,
1301,1053,ASP.NET,ASP.NET
1302,1053,,jQuery
1303,1053,ASP.NET Core,
1305,1053,Vue.js,
1307,1066,Angular,ASP.NET Core
1308,1066,,Angular.js
1309,1066,Spring,
1311,1066,Vue.js,
1313,1077,Angular,Angular
1314,1077,ASP.NET,
1315,1077,ASP.NET Core,
1316,1077,Express,
1317,1077,React.js,
1318,1077,Spring,
1319,1077,Vue.js,
1320,1098,ASP.NET Core,ASP.NET Core
1321,1098,,Django
1322,1098,,Express
1323,1098,,Flask
1324,1098,,Gatsby
1325,1098,,React.js
1326,1098,,Spring
1327,1098,Django,
1334,1098,Express,
1341,1098,Flask,
1348,1098,Gatsby,
1355,1098,React.js,
1362,1118,Express,Express
1363,1118,,jQuery
1364,1118,Vue.js,
1366,1121,Angular,ASP.NET
1367,1121,,ASP.NET Core
1368,1121,,Angular.js
1369,1121,,jQuery
1370,1121,ASP.NET Core,
1374,1121,Vue.js,
1378,1128,Express,Angular.js
1379,1128,,Drupal
1380,1128,,Express
1381,1128,,Laravel
1382,1128,,React.js
1383,1128,,Vue.js
1384,1128,,jQuery
1385,1128,React.js,
1392,1128,Vue.js,
1399,1144,Angular,ASP.NET
1400,1144,,ASP.NET Core
1401,1144,,Angular
1402,1144,,Angular.js
1403,1144,,Express
1404,1144,,Laravel
1405,1144,,Ruby on Rails
1406,1144,,Vue.js
1407,1144,Angular.js,
1415,1144,ASP.NET,
1423,1144,ASP.NET Core,
1431,1144,Express,
1439,1144,React.js,
1447,1144,Vue.js,
1455,1164,ASP.NET,ASP.NET
1456,1164,,ASP.NET Core
1457,1164,ASP.NET Core,
1459,1166,ASP.NET Core,ASP.NET
1460,1166,,ASP.NET Core
1461,1166,,React.js
1462,1166,React.js,
1465,1168,Angular,Angular
1466,1168,,Flask
1467,1168,,React.js
1468,1168,Flask,
1471,1168,React.js,
1474,1174,ASP.NET,ASP.NET
1475,1174,,ASP.NET Core
1476,1174,,Angular
1477,1174,ASP.NET Core,
1480,1174,Express,
1483,1174,React.js,
1486,1174,Vue.js,
1489,1177,ASP.NET,ASP.NET
1490,1177,,ASP.NET Core
1491,1177,,jQuery
1492,1177,ASP.NET Core,
1495,1177,jQuery,
1498,1188,React.js,Flask
1499,1188,Ruby on Rails,
1500,1190,Express,Angular
1501,1190,,Express
1502,1190,,React.js
1503,1190,,jQuery
1504,1190,jQuery,
1508,1190,React.js,
1512,1197,Angular,Angular.js
1513,1197,,Express
1514,1197,,Flask
1515,1197,,React.js
1516,1197,,jQuery
1517,1197,Express,
1522,1197,React.js,
1527,1198,ASP.NET,ASP.NET
1528,1198,,jQuery
1529,1198,ASP.NET Core,
1531,1198,jQuery,
1533,1206,ASP.NET Core,ASP.NET
1534,1206,,ASP.NET Core
1535,1206,,Express
1536,1206,Express,
1539,1216,Drupal,Drupal
1540,1216,,Symfony
1541,1216,,Vue.js
1542,1216,React.js,
1545,1216,Symfony,
1548,1216,Vue.js,
1551,1219,Angular,ASP.NET
1552,1219,,ASP.NET Core
1553,1219,,Angular
1554,1219,ASP.NET,
1557,1219,ASP.NET Core,
1560,1219,Gatsby,
1563,1219,React.js,
1566,1219,Vue.js,
1569,1221,Angular,ASP.NET
1570,1221,,ASP.NET Core
1571,1221,,Angular
1572,1221,,Angular.js
1573,1221,,Express
1574,1221,,Flask
1575,1221,,Vue.js
1576,1221,,jQuery
1577,1234,ASP.NET Core,ASP.NET
1578,1234,,ASP.NET Core
1579,1234,,jQuery
1580,1234,Django,
1583,1234,Flask,
1586,1234,Vue.js,
1589,1240,Express,ASP.NET Core
1590,1240,,Express
1591,1240,,React.js
1592,1240,,Vue.js
1593,1240,React.js,
1597,1240,Vue.js,
1601,1246,Django,Angular
1602,1246,,Angular.js
1603,1246,,Django
1604,1246,,Express
1605,1246,,Flask
1606,1246,,React.js
1607,1246,,Spring
1608,1246,,Vue.js
1609,1246,,jQuery
1610,1246,Flask,
1619,1246,Vue.js,
1628,1249,Angular,ASP.NET
1629,1249,,ASP.NET Core
1630,1249,,Angular
1631,1249,,jQuery
1632,1249,ASP.NET Core,
1636,1249,Laravel,
1640,1249,React.js,
1644,1251,Express,Express
1645,1251,,React.js
1646,1251,,jQuery
1647,1251,Laravel,
1650,1251,React.js,
1653,1267,ASP.NET Core,ASP.NET Core
1654,1267,,Express
1655,1267,,React.js
1656,1267,,jQuery
1657,1267,Express,
1661,1267,React.js,
1665,1267,Vue.js,
1669,1268,Vue.js,ASP.NET Core
1670,1268,,Vue.js
1671,1268,,jQuery
1672,1284,Flask,Vue.js
1673,1284,,jQuery
1674,1284,Vue.js,
1676,1287,Angular,jQuery
1677,1287,ASP.NET Core,
1678,1287,React.js,
1679,1287,Vue.js,
1680,1295,Gatsby,Express
1681,1295,,Gatsby
1682,1295,,React.js
1683,1295,React.js,
1686,1296,ASP.NET,ASP.NET
1687,1296,,jQuery
1688,1296,ASP.NET Core,
1690,1296,jQuery,
1692,1296,React.js,
1694,1296,Vue.js,
1696,1312,Spring,Spring
1697,1314,ASP.NET Core,ASP.NET
1698,1314,,ASP.NET Core
1699,1314,,Angular
1700,1314,,Angular.js
1701,1314,,Flask
1702,1314,,React.js
1703,1314,,jQuery
1704,1314,React.js,
1711,1314,Vue.js,
1718,1315,ASP.NET Core,ASP.NET
1719,1315,,ASP.NET Core
1720,1330,Angular,Angular
1721,1330,,Django
1722,1342,Angular,ASP.NET
1723,1342,,ASP.NET Core
1724,1342,,React.js
1725,1342,ASP.NET Core,
1728,1342,React.js,
1731,1343,Express,Django
1732,1343,,React.js
1733,1343,React.js,
1735,1343,Ruby on Rails,
1737,1343,Vue.js,
1739,1345,Angular,Angular
1740,1345,,Express
1741,1345,,React.js
1742,1345,Django,
1745,1345,Express,
1748,1345,Gatsby,
1751,1345,React.js,
1754,1354,Angular,Angular
1755,1354,,Angular.js
1756,1354,,Express
1757,1354,,React.js
1758,1354,,Ruby on Rails
1759,1354,,jQuery
1760,1354,ASP.NET,
1766,1354,ASP.NET Core,
1772,1354,Django,
1778,1354,Express,
1784,1354,Flask,
1790,1354,Gatsby,
1796,1354,jQuery,
1802,1354,React.js,
1808,1354,Ruby on Rails,
1814,1354,Spring,
1820,1354,Symfony,
1826,1354,Vue.js,
1832,1355,Django,Django
1833,1355,,Express
1834,1355,,Vue.js
1835,1355,Express,
1838,1355,Vue.js,
1841,1365,Angular,ASP.NET
1842,1365,,ASP.NET Core
1843,1365,,Angular
1844,1365,,Angular.js
1845,1365,,Express
1846,1365,,React.js
1847,1365,ASP.NET Core,
1853,1365,Express,
1859,1365,React.js,
1865,1373,ASP.NET Core,ASP.NET Core
1866,1373,,jQuery
1867,1373,Vue.js,
1869,1381,React.js,Express
1870,1381,,React.js
1871,1389,Django,Django
1872,1389,,React.js
1873,1389,,Spring
1874,1389,React.js,
1877,1404,Angular,ASP.NET
1878,1404,,ASP.NET Core
1879,1404,,Angular.js
1880,1404,,jQuery
1881,1404,Angular.js,
1885,1404,ASP.NET,
1889,1404,ASP.NET Core,
1893,1404,jQuery,
1897,1412,Angular,ASP.NET
1898,1412,,ASP.NET Core
1899,1412,,Angular
1900,1412,ASP.NET,
1903,1412,ASP.NET Core,
1906,1416,Express,Angular.js
1907,1416,,Express
1908,1416,,Flask
1909,1416,,Vue.js
1910,1416,Vue.js,
1914,1417,React.js,Angular
1915,1417,,React.js
1916,1417,,Vue.js
1917,1417,Vue.js,
1920,1421,Express,Express
1921,1421,,Flask
1922,1421,,React.js
1923,1421,,jQuery
1924,1421,Flask,
1928,1421,jQuery,
1932,1421,React.js,
1936,1421,Symfony,
1940,1454,Express,ASP.NET
1941,1454,,Express
1942,1454,,Laravel
1943,1454,,React.js
1944,1454,,jQuery
1945,1454,Laravel,
1950,1454,React.js,
1955,1454,Vue.js,
1960,1464,ASP.NET,ASP.NET
1961,1464,,ASP.NET Core
1962,1464,,jQuery
1963,1464,ASP.NET Core,
1966,1464,jQuery,
1969,1467,Django,Django
1970,1467,,Drupal
1971,1467,,Laravel
1972,1467,Ruby on Rails,
1975,1476,Flask,Flask
1976,1476,,React.js
1977,1476,,Spring
1978,1476,,Vue.js
1979,1476,React.js,
1983,1488,Gatsby,Gatsby
1984,1488,,React.js
1985,1488,React.js,
1987,1512,ASP.NET,ASP.NET
1988,1512,,jQuery
1989,1512,ASP.NET Core,
1991,1512,jQuery,
1993,1534,jQuery,jQuery
1994,1551,Django,Django
1995,1551,,React.js
1996,1551,React.js,
1998,1556,Django,Angular.js
1999,1556,,Express
2000,1556,,jQuery
2001,1556,jQuery,
2004,1556,React.js,
2007,1560,Express,Express
2008,1560,,React.js
2009,1560,React.js,
2011,1564,React.js,React.js
2012,1564,,Ruby on Rails
2013,1564,Ruby on Rails,
2015,1566,React.js,React.js
2016,1566,,Vue.js
2017,1566,,jQuery
2018,1580,ASP.NET Core,ASP.NET
2019,1580,,ASP.NET Core
2020,1600,ASP.NET Core,ASP.NET
2021,1600,,ASP.NET Core
2022,1600,,Vue.js
2023,1600,,jQuery
2024,1600,Vue.js,
2028,1605,jQuery,Express
2029,1605,,Laravel
2030,1605,,Vue.js
2031,1605,,jQuery
2032,1605,Laravel,
2036,1605,Vue.js,
2040,1612,Laravel,Laravel
2041,1612,,Vue.js
2042,1612,,jQuery
2043,1612,React.js,
2046,1612,Vue.js,
2049,1631,ASP.NET Core,ASP.NET Core
2050,1631,,React.js
2051,1631,React.js,
2053,1639,Flask,Flask
2054,1644,Laravel,React.js
2055,1644,,jQuery
2056,1644,React.js,
2058,1644,Vue.js,
2060,1646,ASP.NET,ASP.NET
2061,1646,,ASP.NET Core
2062,1646,,jQuery
2063,1646,ASP.NET Core,
2066,1646,jQuery,
2069,1647,React.js,Django
2070,1647,,React.js
2071,1647,,jQuery
2072,1652,Flask,ASP.NET
2073,1652,,Angular
2074,1652,,Angular.js
2075,1652,,Django
2076,1652,,Drupal
2077,1652,,Express
2078,1652,,React.js
2079,1652,,Vue.js
2080,1652,,jQuery
2081,1652,Gatsby,
2090,1669,Angular,Angular
2091,1669,,Express
2092,1669,,Laravel
2093,1669,,jQuery
2094,1669,Express,
2098,1669,jQuery,
2102,1669,Laravel,
2106,1669,React.js,
2110,1669,Vue.js,
2114,1681,Flask,Django
2115,1681,,Flask
2116,1681,,React.js
2117,1681,,jQuery
2118,1681,React.js,
2122,1681,Vue.js,
2126,1717,ASP.NET,ASP.NET
2127,1717,,ASP.NET Core
2128,1717,,jQuery
2129,1717,ASP.NET Core,
2132,1717,jQuery,
2135,1717,Vue.js,
2138,1725,Django,Django
2139,1725,,React.js
2140,1725,,Spring
2141,1725,Flask,
2144,1725,React.js,
2147,1725,Spring,
2150,1725,Vue.js,
2153,1732,Angular,ASP.NET Core
2154,1732,,Angular
2155,1732,,Spring
2156,1732,,jQuery
2157,1732,ASP.NET Core,
2161,1732,React.js,
2165,1732,Spring,
2169,1732,Vue.js,
2173,1745,Angular,ASP.NET
2174,1745,,ASP.NET Core
2175,1745,,Angular
2176,1745,ASP.NET Core,
2179,1745,React.js,
2182,1759,Express,Express
2183,1759,,Laravel
2184,1759,,React.js
2185,1759,,Symfony
2186,1759,React.js,
2190,1779,Angular,ASP.NET
2191,1779,,ASP.NET Core
2192,1779,,Angular
2193,1779,,React.js
2194,1779,,Vue.js
2195,1779,,jQuery
2196,1779,ASP.NET,
2202,1779,ASP.NET Core,
2208,1779,React.js,
2214,1796,ASP.NET,ASP.NET
2215,1796,,jQuery
2216,1796,jQuery,
2218,1801,Gatsby,Flask
2219,1801,,React.js
2220,1801,React.js,
2222,1808,ASP.NET Core,ASP.NET Core
2223,1808,,Flask
2224,1808,,React.js
2225,1808,React.js,
2228,1814,Angular,Angular
2229,1814,,Angular.js
2230,1814,,Spring
2231,1814,,Vue.js
2232,1814,,jQuery
2233,1814,jQuery,
2238,1814,Spring,
2243,1814,Vue.js,
2248,1820,Express,Spring
2249,1820,,Vue.js
2250,1820,React.js,
2252,1820,Spring,
2254,1820,Vue.js,
2256,1826,ASP.NET Core,ASP.NET Core
2257,1826,,Angular
2258,1829,Laravel,Laravel
2259,1829,,Vue.js
2260,1829,Vue.js,
2262,1833,Django,Django
2263,1833,,Flask
2264,1833,,React.js
2265,1845,Angular,ASP.NET
2266,1845,,ASP.NET Core
2267,1845,,Angular
2268,1845,,React.js
2269,1845,,jQuery
2270,1845,ASP.NET,
2275,1845,ASP.NET Core,
2280,1845,jQuery,
2285,1845,React.js,
2290,1845,Vue.js,
2295,1857,Angular,ASP.NET
2296,1857,,ASP.NET Core
2297,1857,,jQuery
2298,1857,ASP.NET,
2301,1857,ASP.NET Core,
2304,1857,jQuery,
2307,1857,Vue.js,
2310,1866,ASP.NET Core,ASP.NET Core
2311,1866,,Vue.js
2312,1866,Vue.js,
2314,1890,React.js,React.js
2315,1908,ASP.NET Core,ASP.NET
2316,1908,,ASP.NET Core
2317,1908,,React.js
2318,1908,Express,
2321,1908,React.js,
2324,1908,Vue.js,
2327,1945,Spring,Spring
2328,1945,Vue.js,
2329,1966,Angular.js,Laravel
2330,1966,,Symfony
2331,1966,,jQuery
2332,1966,Django,
2335,1966,Drupal,
2338,1966,Laravel,
2341,1966,React.js,
2344,1966,Ruby on Rails,
2347,1966,Symfony,
2350,1966,Vue.js,
2353,1971,jQuery,Angular
2354,1971,,jQuery
2355,1976,Angular,ASP.NET Core
2356,1976,,Angular
2357,1976,,Django
2358,1976,ASP.NET Core,
2361,1977,Angular,Angular
2362,1977,,Spring
2363,1977,Spring,
2365,1983,React.js,Angular
2366,1983,,Angular.js
2367,1983,,Spring
2368,1983,Spring,
2371,1984,Angular,ASP.NET
2372,1984,,ASP.NET Core
2373,1984,,Angular
2374,1984,,Angular.js
2375,1984,,Express
