,Respondent,LanguageDesireNextYear,LanguageWorkedWith
2471,710,,R
2472,710,,SQL
2473,710,,Scala
2474,710,Python,
2479,710,Rust,
2484,710,SQL,
2489,713,HTML/CSS,Bash/Shell/PowerShell
2490,713,,HTML/CSS
2491,713,,JavaScript
2492,713,,Python
2493,713,,R
2494,713,,SQL
2495,713,JavaScript,
2501,713,Julia,
2507,713,Python,
2513,713,R,
2519,713,SQL,
2525,713,TypeScript,
2531,718,Assembly,Assembly
2532,718,,Bash/Shell/PowerShell
2533,718,,C
2534,718,,C++
2535,718,,JavaScript
2536,718,,Ruby
2537,718,,SQL
2538,718,Bash/Shell/PowerShell,
2545,718,C,
2552,718,C++,
2559,718,Dart,
2566,718,Go,
2573,718,Java,
2580,718,JavaScript,
2587,718,Julia,
2594,718,Kotlin,
2601,718,R,
2608,718,Ruby,
2615,718,Rust,
2622,718,TypeScript,
2629,726,C,C
2630,726,,C#
2631,726,,C++
2632,726,,Python
2633,726,,SQL
2634,726,,TypeScript
2635,726,C#,
2641,726,C++,
2647,726,Python,
2653,726,SQL,
2659,726,TypeScript,
2665,750,C#,C#
2666,750,,JavaScript
2667,750,,SQL
2668,750,,VBA
2669,750,HTML/CSS,
2673,750,JavaScript,
2677,750,SQL,
2681,759,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2682,759,,C#
2683,759,,HTML/CSS
2684,759,,JavaScript
2685,759,,PHP
2686,759,,SQL
2687,759,,TypeScript
2688,759,,VBA
2689,759,C#,
2697,759,HTML/CSS,
2705,759,JavaScript,
2713,759,Rust,
2721,759,SQL,
2729,759,TypeScript,
2737,761,Assembly,Assembly
2738,761,,Bash/Shell/PowerShell
2739,761,,C
2740,761,,C++
2741,761,,HTML/CSS
2742,761,,Java
2743,761,,JavaScript
2744,761,,SQL
2745,761,C++,
2753,761,Java,
2761,761,R,
2769,761,SQL,
2777,779,C#,C#
2778,779,,JavaScript
2779,779,,PHP
2780,779,,SQL
2781,779,JavaScript,
2785,779,SQL,
2789,815,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2790,815,,HTML/CSS
2791,815,,Java
2792,815,,JavaScript
2793,815,,Rust
2794,815,,SQL
2795,815,,TypeScript
2796,815,HTML/CSS,
2803,815,Rust,
2810,815,SQL,
2817,815,TypeScript,
2824,816,JavaScript,JavaScript
2825,816,,SQL
2826,816,SQL,
2828,816,TypeScript,
2830,823,C#,Bash/Shell/PowerShell
2831,823,,C#
2832,823,,C++
2833,823,,Dart
2834,823,,HTML/CSS
2835,823,,Java
2836,823,,JavaScript
2837,823,,SQL
2838,823,,TypeScript
2839,823,Dart,
2848,827,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2849,827,,C#
2850,827,,HTML/CSS
2851,827,,JavaScript
2852,827,,PHP
2853,827,,Python
2854,827,,Ruby
2855,827,C#,
2862,827,Go,
2869,827,HTML/CSS,
2876,827,JavaScript,
2883,827,Python,
2890,827,Rust,
2897,837,Bash/Shell/PowerShell,Bash/Shell/PowerShell
2898,837,,HTML/CSS
2899,837,,Java
2900,837,,JavaScript
2901,837,,Kotlin
2902,837,,Python
2903,837,,SQL
2904,837,,TypeScript
2905,837,Java,
2913,837,Kotlin,
2921,837,Perl,
2929,837,Python,
2937,837,SQL,
2945,837,TypeScript,
2953,841,C#,C#
2954,841,,HTML/CSS
2955,841,,Java
2956,841,,JavaScript
2957,841,,PHP
2958,841,,R
2959,841,,SQL
2960,841,,TypeScript
2961,841,HTML/CSS,
2969,841,PHP,
2977,841,TypeScript,
2985,842,C#,Bash/Shell/PowerShell
2986,842,,C#
2987,842,,HTML/CSS
2988,842,,JavaScript
2989,842,,SQL
2990,842,,TypeScript
2991,842,HTML/CSS,
2997,842,JavaScript,
3003,842,Python,
3009,842,SQL,
3015,858,C#,Bash/Shell/PowerShell
3016,858,,C#
3017,858,,HTML/CSS
3018,858,,JavaScript
3019,858,,SQL
3020,858,,VBA
3021,858,HTML/CSS,
3027,858,JavaScript,
3033,858,Kotlin,
3039,858,Python,
3045,858,SQL,
3051,878,C#,C#
3052,878,,Go
3053,878,,JavaScript
3054,878,,Objective-C
3055,878,,Ruby
3056,878,,SQL
3057,878,,TypeScript
3058,878,Go,
3065,878,JavaScript,
3072,878,R,
3079,878,Ruby,
3086,878,SQL,
3093,878,TypeScript,
3100,887,Bash/Shell/PowerShell,Bash/Shell/PowerShell
3101,887,,HTML/CSS
3102,887,,JavaScript
3103,887,,Python
3104,887,,SQL
3105,887,,TypeScript
3106,887,Go,
3112,887,HTML/CSS,
3118,887,JavaScript,
3124,887,Kotlin,
3130,887,Python,
3136,887,SQL,
3142,887,TypeScript,
3148,894,HTML/CSS,Bash/Shell/PowerShell
3149,894,,HTML/CSS
3150,894,,JavaScript
3151,894,,Python
3152,894,,SQL
3153,894,,TypeScript
3154,894,JavaScript,
3160,894,Python,
3166,894,SQL,
3172,894,TypeScript,
3178,895,C#,C#
3179,895,,HTML/CSS
3180,895,,JavaScript
3181,895,,Python
3182,895,,SQL
3183,895,HTML/CSS,
3188,895,JavaScript,
3193,895,SQL,
3198,905,Bash/Shell/PowerShell,Bash/Shell/PowerShell
3199,905,,Python
3200,905,,SQL
3201,905,Go,
3204,905,Java,
3207,905,JavaScript,
3210,905,Python,
3213,905,R,
3216,905,Scala,
3219,905,SQL,
3222,908,Ruby,Bash/Shell/PowerShell
3223,908,,C#
3224,908,,Go
3225,908,,HTML/CSS
3226,908,,JavaScript
3227,908,,Python
3228,908,,SQL
3229,908,,TypeScript
3230,908,Scala,
3238,908,Swift,
3246,912,Python,Bash/Shell/PowerShell
3247,912,,HTML/CSS
3248,912,,JavaScript
3249,912,,PHP
3250,912,,Perl
3251,912,,Python
3252,912,,SQL
3253,912,R,
3260,912,Ruby,
3267,912,SQL,
3274,913,HTML/CSS,HTML/CSS
3275,913,,JavaScript
3276,913,,PHP
3277,913,,SQL
3278,913,JavaScript,
3282,913,PHP,
3286,913,SQL,
3290,921,Dart,C
3291,921,,C#
3292,921,,C++
3293,921,,Dart
3294,921,,Go
3295,921,,HTML/CSS
3296,921,,Java
3297,921,,JavaScript
3298,921,,Kotlin
3299,921,,PHP
3300,921,,Python
3301,921,,SQL
3302,921,,Swift
3303,921,,TypeScript
3304,921,Go,
3318,921,JavaScript,
3332,921,Kotlin,
3346,921,Python,
3360,921,Rust,
3374,921,Swift,
3388,921,TypeScript,
3402,923,Bash/Shell/PowerShell,Bash/Shell/PowerShell
3403,923,,Go
3404,923,,HTML/CSS
3405,923,,JavaScript
3406,923,,PHP
3407,923,,Python
3408,923,,Ruby
3409,923,,SQL
3410,923,,TypeScript
3411,923,HTML/CSS,
3420,923,JavaScript,
3429,923,Python,
3438,923,Rust,
3447,923,TypeScript,
3456,931,C#,C#
3457,931,,HTML/CSS
3458,931,,JavaScript
3459,931,,PHP
3460,931,,SQL
3461,931,HTML/CSS,
3466,931,JavaScript,
3471,931,Objective-C,
3476,931,PHP,
3481,939,Bash/Shell/PowerShell,Bash/Shell/PowerShell
3482,939,,HTML/CSS
3483,939,,Java
3484,939,,JavaScript
3485,939,,Python
3486,939,,SQL
3487,939,,TypeScript
3488,939,C#,
3495,939,C++,
3502,939,Java,
3509,939,JavaScript,
3516,939,Python,
3523,939,R,
3530,939,TypeScript,
3537,950,Bash/Shell/PowerShell,Bash/Shell/PowerShell
3538,950,,C
3539,950,,C#
3540,950,,C++
3541,950,,HTML/CSS
3542,950,,Java
3543,950,,JavaScript
3544,950,,Python
3545,950,,SQL
3546,950,C,
3555,950,C#,
3564,950,C++,
3573,950,Python,
3582,950,Rust,
3591,952,Go,Bash/Shell/PowerShell
3592,952,,HTML/CSS
3593,952,,Java
3594,952,,JavaScript
3595,952,,Python
3596,952,,Ruby
3597,952,,SQL
3598,952,,Scala
3599,952,HTML/CSS,
3607,952,Java,
3615,952,JavaScript,
3623,952,Scala,
3631,965,C#,C#
3632,965,,HTML/CSS
3633,965,,JavaScript
3634,965,,SQL
3635,965,,TypeScript
3636,965,HTML/CSS,
3641,965,JavaScript,
3646,965,Python,
3651,965,R,
3656,965,SQL,
3661,980,Go,C++
3662,980,,Go
3663,980,,HTML/CSS
3664,980,,Java
3665,980,,JavaScript
3666,980,,Python
3667,980,,Scala
3668,980,Haskell,
3675,980,Python,
3682,980,Rust,
3689,986,C++,C
3690,986,,C++
3691,986,,HTML/CSS
3692,986,,Java
3693,986,,JavaScript
3694,986,,Objective-C
3695,986,,PHP
3696,986,,Swift
3697,986,,TypeScript
3698,986,HTML/CSS,
3707,986,JavaScript,
3716,986,PHP,
3725,986,TypeScript,
3734,1013,Dart,C#
3735,1013,,C++
3736,1013,,HTML/CSS
3737,1013,,Java
3738,1013,,JavaScript
3739,1013,,PHP
3740,1013,,Python
3741,1013,,Ruby
3742,1013,,TypeScript
3743,1013,Go,
3752,1013,JavaScript,
3761,1013,Kotlin,
3770,1013,Python,
3779,1013,Ruby,
3788,1013,Rust,
3797,1013,Swift,
3806,1013,TypeScript,
3815,1026,C,C
3816,1026,,C#
3817,1026,,C++
3818,1026,,Haskell
3819,1026,,Python
3820,1026,C#,
3825,1026,Haskell,
3830,1026,Julia,
3835,1026,Python,
3840,1026,Ruby,
3845,1035,Go,Java
3846,1035,,JavaScript
3847,1035,,VBA
3848,1035,Java,
3851,1035,JavaScript,
3854,1035,Rust,
3857,1035,TypeScript,
3860,1045,Bash/Shell/PowerShell,Bash/Shell/PowerShell
3861,1045,,C#
3862,1045,,HTML/CSS
